cobdate,Region,UBR Level 8 Name,UBR Level 9 Name,Portfolio Name,Trader Book Name,trade_id,risktype,sensitivitytype,amount(eur)
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01018,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01019,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01020,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02001,abc,Delta,30000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02002,abc,Delta,30000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02003,abc,Delta,30000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02004,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02005,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02006,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02007,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02008,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02009,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02010,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02011,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02012,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02013,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02014,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02015,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02016,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02017,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02018,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02019,abc,Delta,7000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02020,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03001,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03002,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03003,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03004,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03005,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03006,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03007,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03008,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03009,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03010,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03011,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03012,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03013,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03014,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03015,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03016,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03017,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03018,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03019,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03020,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04001,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04002,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04003,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04004,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04005,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04006,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04007,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04008,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04009,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04010,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04011,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04012,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04013,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04014,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04015,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04016,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04017,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04018,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04019,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04020,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05001,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05002,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05003,abc,Delta,30000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05004,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05005,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05006,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05007,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05008,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05009,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05010,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05011,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05012,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05013,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05014,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05015,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05016,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05017,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05018,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05019,abc,Delta,7000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05020,abc,Delta,7000
